0.5,1.11,0.00,8760,0,5,0
1.5,3.33,6.61,8760,579,14,8
2.5,5.55,10.04,8760,880,40,35
3.5,7.77,12.22,8760,1070,82,87
4.5,9.99,13.04,8760,1142,140,160
5.5,12.21,12.63,8760,1106,214,237
6.5,14.43,11.30,8760,990,305,302
7.5,16.65,9.41,8760,824,411,339
8.5,18.87,7.35,8760,644,535,344
9.5,21.09,5.41,8760,474,674,319
10.5,23.31,3.75,8760,329,829,272
11.5,25.53,2.46,8760,215,1001,216
12.5,27.75,1.53,8760,134,1189,159
13.5,29.97,0.90,8760,79,1394,110
14.5,32.19,0.51,8760,45,1614,72
15.5,34.41,0.27,8760,24,1851,44
16.5,36.63,0.14,8760,12,2105,26
17.5,38.85,0.07,8760,6,2374,15
18.5,41.07,0.03,8760,3,2660,7
19.5,43.29,0.00,8760,0,2962,0
20.5,45.51,0.00,8760,0,3280,0
21.5,47.73,0.00,8760,0,3614,0
22.5,49.95,0.00,8760,0,3965,0
23.5,52.17,0.00,8760,0,4332,0
24.5,54.39,0.00,8760,0,4715,0
